title,deal_price,screen_type,hdmi_count,usb_count,os,smart_tv,display_size,hd_technology_resolution,launch_year,model_name
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV 2022 Edition with Bezel-free Design  (UA32T4380AKXXL),"₹11,990",LED,2,1,Tizen,Yes,80 cm (32 Inch),"HD Ready, 1366 x 768",2022,UA32T4380AKXXL
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google Assistant  (iFF32S53),"₹8,999",LED,2,1,Android,Yes,79.97 cm (32 inch),"HD Ready, 1366 x 768",2023,iFF32S53
"iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10  (iFF43U62)","₹17,999",LED,3,1,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2022,iFF43U62
Thomson 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision & Atmos  (50OPMAXGT9020),"₹22,999",LED,3,2,Google TV,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2023,50OPMAXGT9020
Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : HD | DTS Virtual : X | Vivid Picture Engine,"₹20,499",LED,2,2,Google TV,Yes,100 cm (40 inch),"Full HD, 1920 x 1080",2023,L40M8-5AIN
"iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10  (iFF55U62)","₹25,999",LED,3,1,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,iFF55U62
"Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV 2022 Edition with YouTube & Pre-loaded Apps, Wifi Enabled, Miracast, Web Browser  (32Y1)","₹8,499",LED,3,2,Linux,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,32Y1
TCL 80.04 cm (32 inch) Full HD LED Smart Android TV 2023 Edition with Google Assistant |  (32S5403AF),"₹11,490",LED,2,1,Android,Yes,80.04 cm (32 inch),"Full HD, 1920 x 1080",2023,32S5403AF
SENS 80 cm (32 inch) HD Ready LED Smart Linux TV 2022 Edition  (32WCSHD),"₹7,499",LED,3,2,Linux,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,32WCSHD
Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹19,990",LED,2,2,Android,Yes,100 cm (40 inch),"Full HD, 1920 x 1080",2022,L40M7-EAIN
SONY 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition  (KD-55X74K),"₹52,990",LED,3,2,Google TV,Yes,138.8 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,KD-55X74K
SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition with Video Calling & IOT Sensors for Light & Camera  (UA43CUE70AKLXL),"₹28,490",LED,3,1,Tizen,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2023,UA43CUE70AKLXL
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV  (32PATH0011),"₹8,888",LED,3,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2020,32PATH0011
"iFFALCON by TCL U62 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10  (iFF50U62)","₹23,999",LED,3,1,Google TV,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2022,iFF50U62
TOSHIBA 108 cm (43 inch) Full HD LED Smart Android TV 2023 Edition with DTS X  (43V35MP),"₹18,999",LED,2,2,Android,Yes,108 cm (43 inch),"Full HD, 1920 x 1080",2023,43V35MP
"Hisense Tornado 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with 102W JBL 6 Speakers, Dolby Vision and Atmos  (55A7H)","₹31,999",LED,3,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,55A7H
Blaupunkt 126 cm (50 Inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic  (50QD7010),"₹26,999",QLED,3,2,Google TV,Yes,126 cm (50 Inch),"Ultra HD (4K), 3840 x 2160",2022,50QD7010
Thomson FA Series 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with Dolby Digital Plus & Android 11  (32RT1022),"₹9,499",LED,3,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,32RT1022
"Acer Advanced I Series 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision-Atmos, 36W Sound Output  (AR55GR2851UDFL)","₹29,999",LED,3,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,AR55GR2851UDFL
"Hisense Tornado 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with 102W JBL 6 Speakers, Dolby Vision and Atmos  (50A7H)","₹27,999",LED,3,2,Google TV,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2022,50A7H
Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | Vivid Picture Engine,"₹11,499",LED,2,2,Google TV,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,L32M8-5AIN
TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV 2022 Edition with Google Assistant  (32S5400A),"₹10,990",LED,2,1,Android,Yes,79.97 cm (32 inch),"HD Ready, 1366 x 768",2022,32S5400A
Blaupunkt CyberSound G2 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision & 60W Sound Output  (55CSGT7023),"₹26,999",LED,3,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 × 2160",2023,55CSGT7023
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV  (32HDX7XPRO),"₹8,999",LED,3,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2020,32HDX7XPRO
Thomson R9 60 cm (24 inch) HD Ready LED TV  (24TM2490),"₹5,999",LED,2,2,Android,No,60 cm (24 inch),"HD Ready, 1366 x 768",2018,24TM2490
SONY 125.7 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (KD-50X64L),"₹52,990",LED,3,1,Google TV,Yes,125.7 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2023,KD-50X64L
Coocaa 109 cm (43 inch) Full HD LED Smart Coolita TV 2023 Edition with Dolby Audio and Eye Care Technology  (43S3U-Pro),"₹14,999",LED,2,1,Coolita,Yes,109 cm (43 inch),"Full HD, 1920 x 1080",2023,43S3U-Pro
TCL 80.04 cm (32 inch) Full HD LED Smart Google TV 2022 Edition with Google Assistant  (32S5400),"₹12,990",LED,2,1,Google TV,Yes,80.04 cm (32 inch),"Full HD, 1920 x 1080",2022,32S5400
"Hisense A6K 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Hands Free Voice Control, Dolby Vision & Atmos and HRR 120 Hz Mode  (55A6K)","₹29,990",LED,3,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,55A6K
Thomson 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos  (Q50H1000),"₹29,999",QLED,3,2,Google TV,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2022,Q50H1000
iFFALCON by TCL S53 101 cm (40 inch) Full HD LED Smart Android TV with Bezel-Less design & 24W Speaker  (iFF40S53),"₹14,999",LED,2,1,Android,Yes,101 cm (40 inch),"Full HD, 1920 x 1080",2023,iFF40S53
SAMSUNG 109 cm (43 inch) Full HD LED Smart Tizen TV  (UA43T5450AKXXL),"₹26,990",LED,2,1,Tizen,Yes,109 cm (43 inch),"Full HD, 1920 x 1080",2022,UA43T5450AKXXL
OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio  (40FA1A00/40FA1A00_V1),"₹21,999",LED,2,2,Android,Yes,100 cm (40 inch),"Full HD, 1920 x 1080",2021,40FA1A00/40FA1A00_V1
SAMSUNG AUE60 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV  (UA55AUE60AKLXL),"₹45,990",LED,3,1,Tizen,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2021,UA55AUE60AKLXL
"Compaq 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with 2GB RAM,Dolby Audio,WCG+,HDR 10,ESE  (CQV43AX1UD)","₹17,990",LED,3,2,Android,Yes,109 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2022,CQV43AX1UD
SENS 127 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (SENS50WGSUHD),"₹21,999",LED,3,2,Google TV,Yes,127 cm (50 inch),"Ultra HD (4K), 3840 × 2160",2023,SENS50WGSUHD
Sansui 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio and DTS (Mystique Black)  (JSW55ASUHD),"₹32,490",LED,3,2,Android,Yes,140 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2020,JSW55ASUHD
Thomson 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Dolby Atmos  (Q65H1100),"₹44,999",QLED,2,2,Google TV,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,Q65H1100
"Dyanora 60 cm (24 inch) HD Ready LED Smart Linux based TV with Noise Reduction, Powerful Audio Box Speakers  (DY-LD24H4S)","₹6,499",LED,2,2,Linux based,Yes,60 cm (24 inch),"HD Ready, 1366 x 768",2022,DY-LD24H4S
CANDY 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision  (CA6560CQLED),"₹39,999",QLED,4,2,Google TV,Yes,165 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2023,CA6560CQLED
BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android TV  (LEDSTVBG3285HD27-EK),"₹7,299",LED,1,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,LEDSTVBG3285HD27-EK
realme NEO 80 cm (32 inch) HD Ready LED Smart Linux TV  (RMV2101),"₹11,999",LED,2,1,Linux,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2021,RMV2101
Coocaa 80 cm (32 inch) HD Ready LED Smart Coolita TV with Dolby Audio and Eye Care Technology  (32S3U-Pro),"₹7,999",LED,2,1,Coolita,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2021,32S3U-Pro
SAMSUNG The Frame 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV with Matte Display  (QA65LS03BAKLXL),"₹1,29,999",QLED,4,2,Tizen,Yes,163 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,QA65LS03BAKLXL
Mi X Pro 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR10+ | Dolby Atmos | DTS X | Vivid Picture Engine 2 with Adaptive Brightness,"₹44,999",LED,3,2,Google TV,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,L55M8-5XIN
"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10  (iFF65U62)","₹41,999",LED,3,1,Google TV,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,iFF65U62
SONY X75L 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (KD-43X75L),"₹48,440",LED,3,2,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2023,KD-43X75L
Vu Premium TV 108 cm (43 inch) Full HD LED Smart Android TV 2022 Edition  (43GA-Android),"₹20,990",LED,2,2,Android,Yes,108 cm (43 inch),"Full HD, 1920 x 1080",2022,43GA-Android
Blaupunkt CyberSound G2 Series 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with Dolby Digital Plus & 40 W Sound Output  (32CSG7111),"₹9,499",LED,3,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,32CSG7111
TCL C645 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Hands-Free Voice Control  (55C645),"₹39,990",QLED,3,1,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,55C645
MOTOROLA EnvisionX 178 cm (70 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers  (70UHDGDMBS5E),"₹59,999",LED,3,2,Google TV,Yes,178 cm (70 inch),"Ultra HD (4K), 3840 x 2160",2023,70UHDGDMBS5E
Acer V Series 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV  (AR43GR2851VQD),"₹27,999",QLED,3,2,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2023,AR43GR2851VQD
Vu 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (43CA),"₹25,999",LED,3,2,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2023,43CA
OnePlus Y1S Pro 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition  (55UD2A00),"₹39,999",LED,3,2,Android,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,55UD2A00
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV with SMART TV TIZEN HD  (UA32T4340AKXXL / UA32T4340BKXXL),"₹14,990",LED,2,1,Tizen,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2020,UA32T4340AKXXL / UA32T4340BKXXL
LG Nanocell 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition with Magic Remote Control  (43NANO73SQA),"₹38,990",LED,3,2,WebOS,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2022,43NANO73SQA
Coocaa 81 cm (32 inch) HD Ready LED Smart Linux TV with YouTube  (32S3U),"₹11,999",LED,3,1,Linux,Yes,81 cm (32 inch),"HD Ready, 1366 x 768",2019,32S3U
Thomson 9R PRO 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV  (50PATH1010BL),"₹24,999",LED,3,2,Android,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2021,50PATH1010BL
CANDY 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Atmos & Dolby Vision  (CA43U50LED),"₹17,999",LED,4,2,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2023,CA43U50LED
"Acer I Series 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with Android 11, 30W Dolby Audio, MEMC (2022 Model)  (AR50AR2851UDFL)","₹27,999",LED,3,2,Android,Yes,127 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2022,AR50AR2851UDFL
TOSHIBA C350MP 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision Atmos and REGZA Engine  (55C350MP),"₹34,990",LED,3,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,55C350MP
"Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with 4K Dolby Vision | HDR10+ |,Dolby Atmos | DTS-HD | Vivid Picture Engine 2 with Adaptive Brightness","₹29,999",LED,3,2,Android,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2021,L43M6-ES
"Mi 5X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV with 4K Dolby Vision | HDR10+ |,Dolby Atmos | Vivid Picture Engine 2 with Adaptive Brightness","₹39,999",LED,3,2,Android,Yes,125.7 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2021,L50M6-ES
Acer Advanced I Series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition  (AR43GR2841FDFL),"₹18,999",LED,2,2,Google TV,Yes,108 cm (43 inch),"Full HD, 1080 x 1920",2023,AR43GR2841FDFL
TCL P635 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with Dolby Audio & HDR10  (65P635),"₹46,990",LED,3,1,Google TV,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2161",2022,65P635
Sansui 165 cm (65 inch) Ultra HD (4K) LED Smart TV  (JSW65ASUHDFF),"₹46,999",LED,3,2,Google TV,Yes,165 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2022,JSW65ASUHDFF
Sansui 80 cm (32 inch) HD Ready LED Smart Google TV  ((JSWY32GSHD)),"₹10,910",LED,2,2,Google TV,Yes,80 cm (32 inch),"HD Ready, 1366*768",2023,(JSWY32GSHD)
LG Nanocell 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV  (55NANO91TNA),"₹89,999",LED,4,3,WebOS,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2020,55NANO91TNA
Thomson OATHPRO Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruSurround  (50OATHPRO1212),"₹22,999",LED,3,2,Android,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2020,50OATHPRO1212
"Hisense Tornado 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Built-in JBL Soundbar, 25W Subwoofer and HRR 120 Hz Mode  (55A7K)","₹33,999",LED,3,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,55A7K
"Hisense Tornado 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Built-in JBL Soundbar, 25W Subwoofer and HRR 120 Hz Mode  (65A7K)","₹46,999",LED,3,2,Google TV,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2023,65A7K
Nokia 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo  (55TAUHDN),"₹31,999",LED,3,2,Android,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2020,55TAUHDN
CANDY 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Atmos & Dolby Vision  (CA55U50LED),"₹29,999",LED,4,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,CA55U50LED
Blaupunkt Quantum Dot 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & 50W Sound Output  (43QD7050),"₹21,999",QLED,3,2,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 × 2160",2023,43QD7050
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV  (24HDNDQPPAB),"₹5,699",LED,2,2,Not Specified,No,60 cm (24 inch),"HD Ready, 1366 x 768",2022,24HDNDQPPAB
Sansui 127 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (JSW50GSUHD),"₹26,999",LED,3,2,Google TV,Yes,127 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2023,JSW50GSUHD
"LG UQ7500 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition with Filmmaker Mode, AI Sound & Active HDR  (55UQ7500PSF)","₹44,990",LED,3,1,WebOS,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,55UQ7500PSF
Infinix 80 cm (32 inch) QLED HD Ready Smart WebOS TV Infinix W1 QLED 80 cm (32 inch) HD Ready Smart TV powered by webOS (32W1Q) with Dolby Audio. Personalized TV experience with 1000+ Apps and Home Dashboard to control IoT devices. (Wall Mount Included)  (32W1 Q),"₹9,499",QLED,3,2,WebOS,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,32W1 Q
TCL C645 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV With Hands-Free Voice Control  (43C645),"₹28,990",QLED,3,1,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2023,43C645
LG 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV  (65UK7500PTA),"₹1,11,749",LED,4,2,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2018,65UK7500PTA
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV 2022 Edition with Android 11 and Bezel-Less Frame  (32HD2A00),"₹19,890",LED,2,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,32HD2A00
